3LW CIVIL LLC|(512)496-9703|3LW@3LWCIVIL.COM
E. G. L. CONSTRUCTION, INC|(915)525-2302|MARIO@EGLCONSTRUCTION.COM
EARTH BUILDERS, L.P|(940)627-0686|ESTIMATING@EARTHBUILDERS.NET
EAST TEXAS BRIDGE, INC|(903)553-9669|ALAN@ETBRIDGE.COM
ED BELL CONSTRUCTION COMPANY|(214)358-6581|ESTIMATING@EDBELLCONSTRUCTION.COM
ELECNOR BELCO ELECTRIC, INC|(909)993-5470|JWONG@ELECNOR.COM
ENCINO LANDSCAPE, INC|(281)432-7922|SANDRA@ENCINOLANDSCAPEINC.COM
ENVIRONMENTAL ALLIES, INC|(281)442-4112|INFO@ENVIRONMENTALALLIES.COM
EUROVIA ATLANTIC COAST LLC|(817)430-0552|TEXASBIDS@EUROVIA.US
FIREMAN EXCAVATING, INC|(972)287-7918|SDOLIVE@SBCGLOBAL.NET
FLAT LINE, INC|(940)937-8802|FLATLINEINC@HOTMAIL.COM
FLATIRON CONSTRUCTORS, INC|(512)916-9260|TEXAS@FLATIRONCORP.COM
FLUOR HEAVY CIVIL, LLC|(972)538-1906|FHC@FLUOR.COM
FLUOR HEAVY CIVIL, LLC**|==No Phone Found==|FHC@FLUOR.COM
FNF CONSTRUCTION, INC|(480)784-2910|BIDS@FNFINC.COM
FNH CONSTRUCTION, LLC|(469)248-0301|CANDACE@FNHCONSTRUCTION.COM
FORDE CONSTRUCTION COMPANY, INC|(713)466-0511|PFORDE@FORDECONST.COM
FOREMOST PAVING, INC|(956)316-8900|LETTING@FPITEX.COM
FOUTSCO PAVING COMPANY, LLC|(940)222-1012|LFOUTS@FOUTSCOPAVING.COM
FUQUA CONSTRUCTION CO., INC|(936)825-2163|OFFICE@FUQUACONSTRUCTION.COM
GAGE & CADE CONSTRUCTION, LLC**|==No Phone Found==|==No Email Found==
GARRET SHIELDS INFRASTRUCTURE|(469)543-0234|ESTIMATING@GARRETSHIELDS.COM
GIBSON & ASSOCIATES, INC|(972)557-1199|ESTIMATING@GIBSONASSOC.NET
GILVIN-TERRILL, LTD|(806)944-5200|RAYMOND@GILVINT.COM
GO UNDERGROUND, LIMITED LIABILITY C|956-412-610|GOEXCAVATE@YAHOO.COM
GRANITE CONSTRUCTION COMPANY|(831)722-2716|GC.ESTIMATING@GCINC.COM
H. H. HOWARD & SONS, INC|(903)656-3846|HHHOWARDCONST@AOL.COM
H. L. ZUMWALT CONSTRUCTION, INC|(210)695-3541|MARCIA@HLZUMWALT.COM
H. V. CAVER, INC|(903)796-2586|SCOTT@HVCAVER.COM
HARPER BROTHERS CONSTRUCTION LLC|(713)893-4593|BIDS@HARPERBRO.COM
HAYDEN PAVING, INC|281-855-771|LETDELUNA@HAYDENPAVING.COM
HIGHWAY 19 CONSTRUCTION LLC|(903)885-2426|==No Email Found==
HODGES AND SON CONSTRUCTION COMPANY|(903)884-2326|HODGESANDSON@AOL.COM
HORIZONE CONSTRUCTION I, LTD|915-790-055|HORIZONE.ADA@GMAIL.COM
HUNTER INDUSTRIES, LTD|(512)353-7757|CARTER@HUNTERIND.COM
HUNTER INDUSTRIES, LTD. / ANDERSON.||EST.TXH@prim.com
IBCTX, LLC|(940)279-4200|ESTIMATING@IBCTX.COM
ICON GC, LLC|(713)858-9878|KEITH@ICONTX.COM
ICON GC, LLC**|==No Phone Found==|KEITH@ICONTX.COM
ICOS MANAGEMENT, LLC|(972)814-0124|ICOSMGMT@GMAIL.COM
INDUS ROAD & BRIDGE, INC|(972)241-1756|INDUS@INDUSRB.COM
INTERNATIONAL EAGLE ENTERPRISES, IN|915-727-976|EAGLEELPASO@YAHOO.COM
INTERSTATE IMPROVEMENT, INC|(507)333-2677|CONTACT@KNISHCORP.COM
IOC COMPANY LLC|(956)380-2897|IOCCOMPANY@IOCCOMPANY.COM
ISI CONTRACTING, INC|(281)233-8000|ESTIMATING@INFRASTRUCTURE-INC.COM
J E CONSTRUCTION SERVICES, LLC|(361)289-2901|GRANT@JECS.CC
J. CARROLL WEAVER, INC|(361)364-1569|ADMIN@JCARROLLWEAVERINC.COM
J. H. STRAIN & SONS, INC|(325)692-0067|STEVE@JHSTRAIN.COM
J. LEE MILLIGAN, INC|(806)373-4386|HALAN@ARN.NET
J3 COMPANY, LLC|(830)995-5100|==No Email Found==
J3 COMPANY, LLC**|==No Phone Found==|==No Email Found==
JAGOE-PUBLIC COMPANY|(940)382-2581|ESTIMATING@JAGOEPUBLIC.COM
JAMES CONSTRUCTION GROUP, LLC|(281)350-3500|EST.TXH@PRIM.COM
JAMES HAMILTON CONSTRUCTION CO|(505)388-1546|JHCC@DIGNPAVE.COM
JAY MILLS CONTRACTING, INCORPORATED|(254)965-6657|ESTIMATING@JMCTX.COM
JOHN REED AND COMPANY, LLC|(713)785-8917|JOHN@JRCLTD.NET
JONES BROS. DIRT & PAVING CONTRACTO|(432)332-0721|ESTIMATING@JONESDP.COM
JORDAN FOSTER CONSTRUCTION, LLC|(915)877-3333|JGOODRICH@JORDANFOSTERCONSTRUCTION.COM
KIEWIT INFRASTRUCTURE SOUTH CO|(817)337-7000|JEFF.WHITEHEAD@KIEWIT.COM
KNIFE RIVER CORPORATION - SOUTH|(979)361-2900|CTXESTIMATOR@KNIFERIVER.COM
L & N BRIDGE, LLC|(580)298-6974|RLOW@OIO.NET
L A FULLER & SONS CONSTRUCTION, LTD|(806)373-6049|JOSH.FULLER@FULLERANDSONS.COM
L. S. EQUIPMENT CO., INC|(903)657-1555|LSEQUIP@SUDDENLINKMAIL.COM
LARRY YOUNG PAVING, INC|(979)823-4888|M.SCHINZLER@LARRYYOUNGPAVING.COM
LCR TOTAL TRANSPORT LLC|(210)421-6040|INFO@LCRTOTALTRANSPORT.COM
LELAND & BRADLEE CONSTRUCTION, INC.|(903)236-4872|LELANDBRADLEECONSTRUCTION@GMAIL.COM
LESNA CONSTRUCTION, INC|915-519-085|LESLIE@LESNAINC.COM
LESNA CONSTRUCTION, INC.**|==No Phone Found==|LESLIE@LESNAINC.COM
LG SOLAR, LLC**|==No Phone Found==|==No Email Found==
LIGHT IT UP ELECTRIC|(210)897-3168|==No Email Found==
LONE STAR DIRT & PAVING, LTD|(806)745-6011|LONESTARSTEVE@NTS-ONLINE.NET
LONE STAR SITEWORK, LLC|(512)393-1582|MEGAN@LONESTARSITEWORK.COM
LONGVIEW BRIDGE AND ROAD, LTD|(903)663-0264|ESTIMATING@LONGVIEWBRIDGE.COM
LUCANIA CONTRACTORS LLC|==No Phone Found==|==No Email Found==
MAC, INC.**|==No Phone Found==|BRAD@MACINCTEXAS.COM
MADDEN CONTRACTING COMPANY, LLC|(318)377-0928|PGULLEY@MADDENCONTRACTING.COM
MAIN LANE INDUSTRIES LTD|(713)896-3141|ANTHONY.COLUMBO@MC2CIVIL.COM
MARIO SINACOLA & SONS EXCAVATING, I|(214)387-3900|ENGINEERING@MARIOSINACOLA.COM
MARTIN MARIETTA MATERIALS, INC|(501)624-3688|==No Email Found==
MB WESTERN INDUSTRIAL CONTRACTING C|(281)943-0886|ADAWOTOLA@MBWESTERN.COM
MBN ENTERPRISES LLC|832-475-108|ANAREJO@MBNLIMITED.COM
MC2 CIVIL, LLC|==No Phone Found==|==No Email Found==
MIJELUM, L.L.C|(432)294-1661|MATHELEON@HOTMAIL.COM
MPB, INC|830-634-300|MPBINC@MPBINC.COM
NBG CONSTRUCTORS, INC|(281)495-0842|SANDY@NBGCONSTRUCTORS.COM
NO REQUEST FOR PROPOSALS||==No Email Found==
NORTHEASTERN PAVERS, LLC|(817)573-3809|CODYBARRINGTON@YAHOO.COM
O. TREVINO CONSTRUCTION, LLC|(817)430-2410|BRADY@OTCONST.COM
OVERLAND CORPORATION|(580)223-8432|RSULLIVAN@OVERLANDCORPORATION.COM
PEACHTREE CONSTRUCTION, LTD|817-741-465|JBCLARK@PEACHTREECON.COM
PINTO CONSTRUCTION CO., INC|(936)569-6155|CHINTON0810@YAHOO.COM
PMCO CONSTRUCTION LLC|(214)870-6359|RCORTEZ22PMCO@GMAIL.COM
POSILLICO CIVIL, INC|(631)249-1872|ESTIMATINGTX@POSILLICOINC.COM
PROJECT ALLIED RESOURCES, LLC|281-799-100|FRANCORR59@YAHOO.COM
PULICE CONSTRUCTION, INC|(602)944-2241|TEXASESTIMATING@PULICE.COM
R CONSTRUCTION CIVIL, LLC|(713)334-5757|QUOTES@RCONSTRUCTIONINC.COM
R CONSTRUCTION CIVIL, LLC**|==No Phone Found==|==No Email Found==
RAGLE CONSTRUCTION, INC|(817)508-0051|TXESTIMATING@RAGLEINC.COM
RB CONTRACTING, LLC|(903)249-8181|RYANBANKSTON@YMAIL.COM
RBM CONTRACTORS LLC|(956)292-5556|RBMCONTRACTORS@YAHOO.COM
REECE ALBERT, INC|(325)653-1241|MIKE@REECEALBERTINC.COM
REIM CONSTRUCTION, INC|956-580-267|MIGUELR@REIMCONSTRUCTION.COM
RELMCO, INC|(830)741-3400|LHACKEBEIL@RELMCOINC.COM
REYNOLDS & KAY, LTD|(903)592-0835|KELVIN.DESHAZO@SBCGLOBAL.NET
REYTEC CONSTRUCTION RESOURCES, INC.|(713)957-4003|GREYES@REYTEC.NET
RICHARD DRAKE CONSTRUCTION COMPANY,|(903)732-4781|LDRAKE@RDCCLP.COM
RISE UP CONSTRUCTION LLC|==No Phone Found==|==No Email Found==
RK HALL, LLC|(903)784-7280|ESTIMATING@RKHALLCONSTRUCTION.COM
ROAD MAKER CONTRACTORS, LLC**|==No Phone Found==|==No Email Found==
ROMAN EMPERORS ROAD, LLC|==No Phone Found==|==No Email Found==
ROY JORGENSEN ASSOCIATES, INC|(301)831-1000|CONTRACTING@ROYJORGENSEN.COM
ROYAL BRIDGE INC|(727)934-6042|TOMMY@ROYALBRIDGEINC.COM
RPM XCONSTRUCTION, LLC|(214)239-4722|PUBLICEST@RPMXCONSTRUCTION.COM
SACYR CONSTRUCTION USA LLC|(786)773-5847|BIDSTEXAS@SACYR.COM
SALINAS CONSTRUCTION TECHNOLOGIES,.|(830)281-3500|MBENITEZ@SALINASCONSTRUCTIONTECHNOLOGIES.COM
SAMMY GIST ENTERPRISES, INC|(903)427-8027|SGIST@SUDDENLINKMAIL.COM
SB CONTRACTORS LLC**|==No Phone Found==|ESTIMATING@SBCONTRACTORSLLC.COM
SCR CIVIL CONSTRUCTION, LLC|(281)344-0700|TOM@SCRCONSTRUCTION.COM
SEFBO PIPELINE BRIDGE, INCORPORATED|(512)927-2727|CHIKAOHSU@AOL.COM
SELECT MAINTENANCE, L.L.C|(817)508-0051|ESTIMATING@SELECTCOMPANYLLC.COM
SEMA CONSTRUCTION, INC|(303)627-2600|ESTIMATING.TX@SEMACONSTRUCTION.COM
SER CONSTRUCTION PARTNERS, LLC|(713)473-7900|CONTACT@SERCONSTRUCTION.NET
SKYLINE BRIDGE LLC|==No Phone Found==|==No Email Found==
SOUTHERN ROAD & BRIDGE, LLC|(727)940-5395|PREQUAL@SOUTHERNRB.COM
SPARTAN CONSTRUCTION OF TEXAS, INC.|(915)760-6171|STEVE@SPARTAN-CONST.COM
STERLING DELAWARE HOLDING COMPANY|(281)821-9091|==No Email Found==
STERLING DELAWARE HOLDING COMPANY**|==No Phone Found==|==No Email Found==
STRUCTURAL INTEGRITY GROUP LLC|(301)706-0667|MBUCHANAN@SIG-LLC.COM
STRUCTURAL TECHNOLOGIES, LLC|(410)850-7000|PREQUALS@STRUCTURALTEC.COM
STX CIVIL|(956)415-6816|==No Email Found==
STX CIVIL**|==No Phone Found==|==No Email Found==
SUNDT CONSTRUCTION, INC|(469)886-6600|TEXASBID@SUNDT.COM
SWEEPING CORPORATION OF AMERICA, LL|(216)777-2750|==No Email Found==
TALBERT COMPANIES LLC|(940)231-7955|==No Email Found==
TEXAS BLACKTOPS LLC|(940)256-3654|BCBENSON1127@GMAIL.COM
TEXAS CORDIA CONSTRUCTION, LLC|956-627-618|YARA@TEXASCORDIA.COM
TEXAS-REYES GROUP LTD|(708)596-7100|ESTIMATINGTEXAS@REYESGROUP.COM
TEXAS-REYES GROUP LTD.**|==No Phone Found==|ESTIMATINGTEXAS@REYESGROUP.COM
THE TRUESDELL CORPORATION|(602)437-1711|NMACKOWIAK@TRUESDELLCORP.COM
THK CONSTRUCTION LLC**|==No Phone Found==|JERRYKRCHNAK@THKCONSTRUCTION.COM
TI-ZACK CONCRETE, INC|(507)357-6463|ESTIMATING@TIZACK.COM
TI-ZACK CONCRETE, LLC|==No Phone Found==|ESTIMATING@TIZACK.COM
TIGHT LINE CONSTRUCTION, LLC|(281)659-6759|JBONDS@TIGHTLINETX.COM
TOUCHSTONE RESOURCES, LLC|==No Phone Found==|CATANMO@BAKKEN-ER.COM
TRAFFIC HIGHWAY MAINTENANCE, LLC|(469)523-0180|ESTIMATING@THMTX.COM
TREVWAY, INC|832-687-626|KTREVINO@TREVINCTX.COM
TRI STATE ELECTRIC, LTD|(915)755-8803|DFULLERTSE@SBCGLOBAL.NET
TRUE ROADS CONSTRUCTION, LLC|(430)201-5131|REECES@TRUEROADSCONSTRUCTION.COM
TRUE ROADS CONSTRUCTION, LLC**|==No Phone Found==|REECES@TRUEROADSCONSTRUCTION.COM
VACA UNDERGROUND UTILITIES INC|(832)275-7241|VACA@VACAUNDERGROUND.COM
VULCAN MATERIALS ASPHALT AND CONSTR|(936)756-6960|TXDOTBIDSVMAC@VMCMAIL.COM
WEBBER INFRASTRUCTURE MANAGEMENT, I|==No Phone Found==|==No Email Found==
WEBBER, LLC|(281)987-8787|WEBBERESTIMATING@WWEBBER.COM
WEST TEXAS PAVING, INC|(806)863-3550|==No Email Found==
WILLIAMS BROTHERS CONSTRUCTION CO.,|(713)522-9821|SSCHULGEN@WBCTX.COM
WILLIS ELECTRIC CO., LP|(325)698-3444|TOMMY@WILLISLP.COM
WINDING ROAD CONSTRUCTION, INC|(218)743-3874|WINDINGROAD1877@YAHOO.COM
Z & L CONCRETE CONTRACTORS, INC.**.|==No Phone Found==|ZLCONCRETE@YAHOO.COM
ZACHRY CONSTRUCTION CORPORATION|(210)871-2700|ZCCBIDS@ZACHRYCORP.COM
ZACHRY CONSTRUCTION CORPORATION / A|==No Phone Found==|==No Email Found==
ZACK BURKETT CO|(940)549-0436|RS1454@AOL.COM
ZTEX CONSTRUCTION, INC|(915)591-6900|ZTEXEPO@GMAIL.COM
company|phone|email
